users,tweets,perc,cper
1,20476,0.06662068247481714,0.06662068247481714
2,245417,0.7984883781462297,0.8651090606210469
3,29128,0.09477081652307452,0.9598798771441214
4,7029,0.022869543715349175,0.9827494208594706
5,2420,0.007873708321403472,0.990623129180874
