tweets,conversations,perc,pconv
1,622130,0.8329930201202098,0.0
2,67578,0.09048270026149444,0.541789931933521
3,21590,0.028907654838048847,0.1730924950493462
4,10494,0.014050807312204011,0.08413305433292445
5,6088,0.008151449868181629,0.04880903704772671
