from,to,conversations,perc,cperc
0.0,10.0,277222,0.9663478297243409,0.9663478297243409
10.0,20.0,4548,0.01585353950835901,0.9822013692326999
20.0,30.0,1138,0.00396687070371868,0.9861682399364186
30.0,40.0,627,0.002185613296337093,0.9883538532327556
40.0,50.0,379,0.001321128292363251,0.9896749815251189
