Feature,Factor1,Factor2,Factor3
fav given,0.3454555303921136,-0.08541397608830148,-0.07804382786959731
followers,0.49939778483606534,-0.19578953563586757,0.12383311516251425
friends,0.5223550247090647,-0.010748573168271935,0.06622785998401454
statuses,0.5285720686388613,-0.19817157876176483,0.039482899903004506
tokens,0.03899128736222917,-0.16687801687643314,-0.05531446960715321
urls,0.022441150557236625,0.007194322761091186,0.04354210063383708
hashtags,-0.024900855254907928,0.24707628600066756,0.9531313405977796
mentions,0.27497004697256333,0.908822564459052,-0.2412016097887564
media,0.027687910454647226,0.008844682005705783,0.03219188760944787
