Factor,Eigenvalue,Variance,CumVariance
1,1.711171557953104,0.2741330130199481,0.2741330130199481
2,1.4677314186176402,0.23513342903559603,0.5092664420555442
3,1.0214426927993183,0.16363710681308571,0.6729035488686299
4,0.5383891029203324,0.08625098183445992,0.7591545307030898
5,0.48735571328346755,0.0780753335186888,0.8372298642217786
6,0.4202311248406498,0.06732184384547046,0.904551708067249
7,0.27053912339536995,0.043340893957390575,0.9478926020246397
8,0.20778523305799132,0.03328759862475481,0.9811802006493945
9,0.11747547302081829,0.018819799350605567,1.0
